"logical_family_id","dataset","family","family_kind","closest_anchor","sampling_recommendation","regime_recommendation","char_file_conditioning","pcf_status","multiscale_status","mixed_type_status","retrieval_status","conditioning_candidates","model_defaults","model_candidates","rationale","anchor_distance"
"alibaba__alibaba","alibaba","alibaba","request_sequence","alibaba","block","K≈8",TRUE,"promising","promising","mixed","unknown","object_unique,signed_stride_lag1_autocorr,obj_size_std","use block or sequential file sampling; use char-file conditioning; use a regime sampler around K≈8","PCF loss is promising on the alibaba corpus; multi-scale critic looks promising for higher-mode families; test extra conditioning features: object_unique,signed_stride_lag1_autocorr,obj_size_std","ordered files show temporal persistence; family looks multi-regime or high-heterogeneity",0
"Baleen24__Baleen24","Baleen24","Baleen24","request_sequence","tencent_block","block","K≈8",TRUE,"validated","promising","promising","mixed","object_unique,signed_stride_lag1_autocorr,obj_size_std","use block or sequential file sampling; use char-file conditioning; use a regime sampler around K≈8; treat locality as first-class in the loss/conditioning stack","PCF loss is validated on the tencent_block corpus; multi-scale critic looks promising for higher-mode families; mixed-type recovery is promising for request-sequence windows; test extra conditioning features: object_unique,signed_stride_lag1_autocorr,obj_size_std","ordered files show temporal persistence; family looks multi-regime or high-heterogeneity; reuse/locality is not negligible",111.660871302475
"MSR__exchange","MSR","exchange","request_sequence","tencent_block","block","K≈8",TRUE,"validated","promising","promising","mixed","object_unique,signed_stride_lag1_autocorr,obj_size_std","use block or sequential file sampling; use char-file conditioning; use a regime sampler around K≈8","PCF loss is validated on the tencent_block corpus; multi-scale critic looks promising for higher-mode families; mixed-type recovery is promising for request-sequence windows; test extra conditioning features: object_unique,signed_stride_lag1_autocorr,obj_size_std","ordered files show temporal persistence; family looks multi-regime or high-heterogeneity",1.80983160591783
"s3-cache-datasets__2007_msr","s3-cache-datasets","2007_msr","request_sequence","tencent_block","random-ok","single",TRUE,"validated","promising","promising","mixed","object_unique,signed_stride_lag1_autocorr,obj_size_std","use char-file conditioning; keep burst-sensitive temporal objectives on","PCF loss is validated on the tencent_block corpus; mixed-type recovery is promising for request-sequence windows; test extra conditioning features: object_unique,signed_stride_lag1_autocorr,obj_size_std","burstiness is materially above the calmer families",1.101773114897
"s3-cache-datasets__2007_wiki","s3-cache-datasets","2007_wiki","request_sequence","tencent_block","random-ok","single",TRUE,"validated","promising","promising","mixed","object_unique,signed_stride_lag1_autocorr","use char-file conditioning; keep burst-sensitive temporal objectives on","PCF loss is validated on the tencent_block corpus; mixed-type recovery is promising for request-sequence windows; test extra conditioning features: object_unique,signed_stride_lag1_autocorr","burstiness is materially above the calmer families",3.39640488675138
"s3-cache-datasets__2015_cloudphysics","s3-cache-datasets","2015_cloudphysics","request_sequence","tencent_block","random-ok","K≈8",TRUE,"validated","promising","promising","mixed","object_unique,signed_stride_lag1_autocorr,obj_size_std","use char-file conditioning; use a regime sampler around K≈8; keep burst-sensitive temporal objectives on","PCF loss is validated on the tencent_block corpus; multi-scale critic looks promising for higher-mode families; mixed-type recovery is promising for request-sequence windows; test extra conditioning features: object_unique,signed_stride_lag1_autocorr,obj_size_std","family looks multi-regime or high-heterogeneity; burstiness is materially above the calmer families",1.20048817832977
"s3-cache-datasets__2016_wiki","s3-cache-datasets","2016_wiki","structured_table","tencent_block","split-by-format-first","single",FALSE,"not-primary","not-primary","not-primary","not-primary","","split formats before training; current window GAN is a weaker fit than it is for request-sequence families","","formats/parsers are mixed",2.68007415338899
"s3-cache-datasets__2017_docker","s3-cache-datasets","2017_docker","structured_table","tencent_block","random-ok","single",FALSE,"not-primary","not-primary","not-primary","not-primary","","current window GAN is a weaker fit than it is for request-sequence families","","no single pathological axis dominates this family",2.68007415338899
"s3-cache-datasets__2017_systor","s3-cache-datasets","2017_systor","request_sequence","tencent_block","random-ok","single",TRUE,"validated","promising","promising","mixed","object_unique,signed_stride_lag1_autocorr,obj_size_std","use char-file conditioning","PCF loss is validated on the tencent_block corpus; mixed-type recovery is promising for request-sequence windows; test extra conditioning features: object_unique,signed_stride_lag1_autocorr,obj_size_std","no single pathological axis dominates this family",1.20844597770325
"s3-cache-datasets__2018_tencentPhoto","s3-cache-datasets","2018_tencentPhoto","request_sequence","tencent_block","split-by-format-first","single",TRUE,"validated","promising","promising","mixed","object_unique,signed_stride_lag1_autocorr,obj_size_std","split formats before training; use char-file conditioning; keep burst-sensitive temporal objectives on","PCF loss is validated on the tencent_block corpus; mixed-type recovery is promising for request-sequence windows; test extra conditioning features: object_unique,signed_stride_lag1_autocorr,obj_size_std","burstiness is materially above the calmer families; formats/parsers are mixed",2.52351223258489
"s3-cache-datasets__2019_wiki","s3-cache-datasets","2019_wiki","request_sequence","tencent_block","split-by-format-first","single",TRUE,"validated","promising","promising","mixed","object_unique,signed_stride_lag1_autocorr,obj_size_std","split formats before training; use char-file conditioning; keep burst-sensitive temporal objectives on","PCF loss is validated on the tencent_block corpus; mixed-type recovery is promising for request-sequence windows; test extra conditioning features: object_unique,signed_stride_lag1_autocorr,obj_size_std","burstiness is materially above the calmer families; formats/parsers are mixed",2.1965446251227
"s3-cache-datasets__2020_alibabaBlock","s3-cache-datasets","2020_alibabaBlock","request_sequence","alibaba","split-by-format-first","K≈8",TRUE,"promising","promising","mixed","unknown","object_unique,signed_stride_lag1_autocorr,obj_size_std","split formats before training; use char-file conditioning; use a regime sampler around K≈8","PCF loss is promising on the alibaba corpus; multi-scale critic looks promising for higher-mode families; test extra conditioning features: object_unique,signed_stride_lag1_autocorr,obj_size_std","ordered files show temporal persistence; family looks multi-regime or high-heterogeneity; formats/parsers are mixed",0.53885028349076
